Current Price,Link,Name,Old Price,Product code/number
$7.99,http://www.hm.com/us/product/66549?article=66549-A,T-shirt with Motif,$12.99,66549-A
$9.99,http://www.hm.com/us/product/67573?article=67573-A,Ruffled Top,$17.99,67573-A
$9.99,http://www.hm.com/us/product/59865?article=59865-D,Ribbed Sweater,$12.99,59865-D
$7.99,http://www.hm.com/us/product/69690?article=69690-A,V-neck Top,$17.99,69690-A
$29.99,http://www.hm.com/us/product/68555?article=68555-A,Off-the-shoulder Top,$49.99,68555-A
$6.99,http://www.hm.com/us/product/61473?article=61473-B,Long-sleeved Top,$14.99,61473-B
$7.99,http://www.hm.com/us/product/66154?article=66154-B,Wide-cut T-shirt,$12.99,66154-B
$5.99,http://www.hm.com/us/product/62216?article=62216-B,Short-sleeved Top,$12.99,62216-B
$17.99,http://www.hm.com/us/product/69673?article=69673-A,Short Top,$34.99,69673-A
$7.99,http://www.hm.com/us/product/69256?article=69256-C,One-shoulder Top,$12.99,69256-C
$7.99,http://www.hm.com/us/product/64045?article=64045-A,V-neck Short-sleeved Sweater,$17.99,64045-A
$9.99,http://www.hm.com/us/product/48777?article=48777-B,Polo Shirt,$12.99,48777-B
$12.99,http://www.hm.com/us/product/67259?article=67259-D,Fine-knit Camisole Top,$29.99,67259-D
$7.99,http://www.hm.com/us/product/38259?article=38259-B,Boat-neck Top,$14.99,38259-B
$9.99,http://www.hm.com/us/product/65850?article=65850-C,Lace Top,$17.99,65850-C
$7.99,http://www.hm.com/us/product/62963?article=62963-B,Mock-turtleneck Bodysuit,$14.99,62963-B
$9.99,http://www.hm.com/us/product/63080?article=63080-B,V-neck Camisole Top,$17.99,63080-B
$9.99,http://www.hm.com/us/product/69220?article=69220-B,T-shirt with Printed Design,$12.99,69220-B
$7.99,http://www.hm.com/us/product/56535?article=56535-A,Long-sleeved Jersey Top,$12.99,56535-A
$7.99,http://www.hm.com/us/product/63610?article=63610-J,Cotton Jersey T-shirt,$12.99,63610-J
$14.99,http://www.hm.com/us/product/65855?article=65855-A,Loose-knit Top,$24.99,65855-A
$9.99,http://www.hm.com/us/product/59865?article=59865-B,Ribbed Sweater,$12.99,59865-B
$7.99,http://www.hm.com/us/product/65897?article=65897-A,Short Top,$12.99,65897-A
$7.99,http://www.hm.com/us/product/69690?article=69690-B,V-neck Top,$17.99,69690-B
$12.99,http://www.hm.com/us/product/67259?article=67259-C,Fine-knit Camisole Top,$29.99,67259-C
$5.99,http://www.hm.com/us/product/66133?article=66133-A,Short Top,$9.99,66133-A
$4.99,http://www.hm.com/us/product/69011?article=69011-C,Jersey Camisole Top,$6.99,69011-C
$9.99,http://www.hm.com/us/product/61483?article=61483-A,Jersey Bodysuit,$17.99,61483-A
$9.99,http://www.hm.com/us/product/63850?article=63850-B,Short Top with Elastic,$14.99,63850-B
$12.99,http://www.hm.com/us/product/64623?article=64623-C,T-shirt with Motif,$17.99,64623-C
$12.99,http://www.hm.com/us/product/64869?article=64869-D,Long-sleeved Linen Top,$24.99,64869-D
$12.99,http://www.hm.com/us/product/62288?article=62288-A,Camisole Top with Mesh Detail,$17.99,62288-A
$12.99,http://www.hm.com/us/product/63206?article=63206-B,Airy Jersey Top,$17.99,63206-B
$9.99,http://www.hm.com/us/product/56852?article=56852-A,Ribbed Top,$17.99,56852-A
$12.99,http://www.hm.com/us/product/69540?article=69540-D,Jersey Camisole Top with Lace,$17.99,69540-D
$7.99,http://www.hm.com/us/product/70285?article=70285-A,Glittery Bandeau Top,$12.99,70285-A
$6.99,http://www.hm.com/us/product/64432?article=64432-F,Cotton T-shirt,$12.99,64432-F
$12.99,http://www.hm.com/us/product/64869?article=64869-A,Long-sleeved Linen Top,$24.99,64869-A
$7.99,http://www.hm.com/us/product/69128?article=69128-D,Short Jersey Top,$12.99,69128-D
$9.99,http://www.hm.com/us/product/56722?article=56722-B,V-neck Top,$17.99,56722-B
$9.99,http://www.hm.com/us/product/64735?article=64735-A,Jersey Top,$14.99,64735-A
$9.99,http://www.hm.com/us/product/68459?article=68459-J,Wide-cut Camisole Top,$14.99,68459-J
$9.99,http://www.hm.com/us/product/60584?article=60584-B,Long-sleeved Bodysuit,$14.99,60584-B
$14.99,http://www.hm.com/us/product/59231?article=59231-A,Flounced Crop Top,$24.99,59231-A
$6.99,http://www.hm.com/us/product/38235?article=38235-A,Jersey Top,$9.99,38235-A
$9.99,http://www.hm.com/us/product/48777?article=48777-A,Polo Shirt,$12.99,48777-A
$9.99,http://www.hm.com/us/product/66753?article=66753-B,Crushed-velvet Camisole Top,$14.99,66753-B
$12.99,http://www.hm.com/us/product/64869?article=64869-B,Long-sleeved Linen Top,$24.99,64869-B
$12.99,http://www.hm.com/us/product/58708?article=58708-B,Pleated Top,$24.99,58708-B
$12.99,http://www.hm.com/us/product/39356?article=39356-A,Silk-blend Top,$24.99,39356-A
$9.99,http://www.hm.com/us/product/63533?article=63533-E,Fitted Sweater,$29.99,63533-E
$14.99,http://www.hm.com/us/product/60791?article=60791-A,Bustier,$29.99,60791-A
$14.99,http://www.hm.com/us/product/64972?article=64972-A,V-neck Satin Camisole Top,$24.99,64972-A
$9.99,http://www.hm.com/us/product/67573?article=67573-G,Ruffled Top,$17.99,67573-G
$9.99,http://www.hm.com/us/product/60584?article=60584-D,Long-sleeved Bodysuit,$14.99,60584-D
$14.99,http://www.hm.com/us/product/60829?article=60829-B,Sleeveless Top with Lace,$24.99,60829-B
$9.99,http://www.hm.com/us/product/68149?article=68149-B,Jersey Top with Lace,$19.99,68149-B
$12.99,http://www.hm.com/us/product/62358?article=62358-A,Uni Tee,$19.99,62358-A
$12.99,http://www.hm.com/us/product/70444?article=70444-E,Double-layer Camisole Top,$24.99,70444-E
$12.99,http://www.hm.com/us/product/51674?article=51674-A,Linen-blend Top,$24.99,51674-A
$9.99,http://www.hm.com/us/product/66738?article=66738-A,Lace Top,$17.99,66738-A
$9.99,http://www.hm.com/us/product/49630?article=49630-E,Jersey Top,$14.99,49630-E
$9.99,http://www.hm.com/us/product/67189?article=67189-B,Fine-knit Turtleneck Top,$17.99,67189-B
$19.99,http://www.hm.com/us/product/67945?article=67945-C,Lace Top,$34.99,67945-C
$14.99,http://www.hm.com/us/product/60829?article=60829-A,Sleeveless Top with Lace,$24.99,60829-A
$7.99,http://www.hm.com/us/product/39799?article=39799-A,Jersey Top,$14.99,39799-A
$12.99,http://www.hm.com/us/product/59539?article=59539-B,Glittery Bustier,$24.99,59539-B
$4,http://www.hm.com/us/product/26972?article=26972-M,Tube Top,$9.95,26972-M
$9.99,http://www.hm.com/us/product/64990?article=64990-B,T-shirt with Printed Design,$14.99,64990-B
$9.99,http://www.hm.com/us/product/49630?article=49630-G,Jersey Top,$14.99,49630-G
$12.99,http://www.hm.com/us/product/63643?article=63643-E,Silk-blend Top,$24.99,63643-E
$7.99,http://www.hm.com/us/product/67189?article=67189-A,Fine-knit Turtleneck Top,$17.99,67189-A
$17.99,http://www.hm.com/us/product/58123?article=58123-A,Sequined Bustier,$39.99,58123-A
$12.99,http://www.hm.com/us/product/55410?article=55410-E,Mock-turtleneck Top,$17.99,55410-E
$9.99,http://www.hm.com/us/product/68459?article=68459-I,Wide-cut Camisole Top,$14.99,68459-I
$14.99,http://www.hm.com/us/product/66158?article=66158-C,Velvet Camisole Top,$24.99,66158-C
